TIME_PERIOD,GEO,NOGA,CLASS,LEGAL,INDICATOR,OBS_VALUE,OBS_STATUS
2016,CH05,_T,_T,_T,New businesses,4912,A
2016,8,_T,_T,_T,New businesses,149,A
2016,14,_T,_T,_T,New businesses,353,A
2016,15,_T,_T,_T,New businesses,294,A
2016,16,_T,_T,_T,New businesses,83,A
2016,17,_T,_T,_T,New businesses,2070,A
2016,18,_T,_T,_T,New businesses,887,A
2016,20,_T,_T,_T,New businesses,1076,A
2016,CH06,_T,_T,_T,New businesses,4423,A
2016,3,_T,_T,_T,New businesses,1609,A
2016,4,_T,_T,_T,New businesses,103,A
2016,5,_T,_T,_T,New businesses,925,A
2016,6,_T,_T,_T,New businesses,184,A
2016,7,_T,_T,_T,New businesses,202,A
2016,9,_T,_T,_T,New businesses,1400,A
2016,CH07,_T,_T,_T,New businesses,2949,A
2016,21,_T,_T,_T,New businesses,2949,A
2016,CH,B-F,_T,_T,New businesses,4912,A
2016,CH,B-E,_T,_T,New businesses,1713,A
2016,CH,F,_T,_T,New businesses,3199,A
2016,CH,G-S,_T,_T,New businesses,34213,A
2016,CH,G,_T,_T,New businesses,4511,A
2016,CH,H,_T,_T,New businesses,885,A
2016,CH,I,_T,_T,New businesses,1228,A
2016,CH,J,_T,_T,New businesses,2191,A
2016,CH,K,_T,_T,New businesses,1432,A
2016,CH,L-N,_T,_T,New businesses,3548,A
2016,CH,M,_T,_T,New businesses,8156,A
2016,CH,P,_T,_T,New businesses,1949,A
2016,CH,Q,_T,_T,New businesses,4472,A
2016,CH,R,_T,_T,New businesses,2215,A
2016,CH,S,_T,_T,New businesses,3626,A
2016,CH,_T,1,_T,New businesses,32254,A
2016,CH,_T,10+,_T,New businesses,116,A
2016,CH,_T,2TO4,_T,New businesses,6103,A
2016,CH,_T,5TO9,_T,New businesses,652,A
2016,CH,_T,_T,1,New businesses,23878,A
2016,CH,_T,_T,2,New businesses,689,A
2016,CH,_T,_T,3,New businesses,4790,A
2016,CH,_T,_T,4,New businesses,8720,A
2016,CH,_T,_T,5,New businesses,99,A
2016,CH,_T,_T,6,New businesses,185,A
2016,CH,_T,_T,7,New businesses,764,A
2016,CH,_T,_T,8,New businesses,0,A
2017,CH,_T,_T,_T,Jobs created by New businesses,53480,A
2017,CH01,_T,_T,_T,Jobs created by New businesses,11811,A
2017,22,_T,_T,_T,Jobs created by New businesses,5589,A
2017,23,_T,_T,_T,Jobs created by New businesses,2119,A
2017,25,_T,_T,_T,Jobs created by New businesses,4103,A
2017,CH02,_T,_T,_T,Jobs created by New businesses,9017,A
2017,2,_T,_T,_T,Jobs created by New businesses,4807,A
2017,10,_T,_T,_T,Jobs created by New businesses,1511,A
2017,11,_T,_T,_T,Jobs created by New businesses,1269,A
2017,24,_T,_T,_T,Jobs created by New businesses,1046,A
2017,26,_T,_T,_T,Jobs created by New businesses,384,A
2017,CH03,_T,_T,_T,Jobs created by New businesses,5926,A
2017,12,_T,_T,_T,Jobs created by New businesses,1455,A
2017,13,_T,_T,_T,Jobs created by New businesses,1380,A
